Input,Reading_level,Output
The sky darkened as heavy clouds gathered above the town.,Very Simple,The sky got dark.
The sky darkened as heavy clouds gathered above the town.,Moderate,Dark clouds came over the town.
The sky darkened as heavy clouds gathered above the town.,Light,The sky darkened as heavy clouds gathered above the town.
He hesitated before opening the mysterious letter.,Very Simple,He waited before opening the letter.
He hesitated before opening the mysterious letter.,Moderate,He paused before opening the strange letter.
He hesitated before opening the mysterious letter.,Light,He hesitated before opening the mysterious letter.
Her heart raced as footsteps echoed behind her.,Very Simple,Her heart went fast.
Her heart raced as footsteps echoed behind her.,Moderate,She felt scared when she heard footsteps behind her.
Her heart raced as footsteps echoed behind her.,Light,Her heart raced as footsteps echoed behind her.
"The little boy wandered through the forest, searching for a way home.",Very Simple,The boy got lost in the woods.
"The little boy wandered through the forest, searching for a way home.",Moderate,The boy walked through the forest looking for home.
"The little boy wandered through the forest, searching for a way home.",Light,"The little boy wandered through the forest, searching for a way home."
The princess remained calm despite the danger around her.,Very Simple,The princess stayed calm.
The princess remained calm despite the danger around her.,Moderate,The princess stayed calm even though things were dangerous.
The princess remained calm despite the danger around her.,Light,The princess remained calm despite the danger around her.
The dragon guarded the treasure with fierce determination.,Very Simple,The dragon kept the treasure safe.
The dragon guarded the treasure with fierce determination.,Moderate,The dragon strongly protected the treasure.
The dragon guarded the treasure with fierce determination.,Light,The dragon guarded the treasure with fierce determination.
The villagers celebrated after the long struggle ended.,Very Simple,The people were happy.
The villagers celebrated after the long struggle ended.,Moderate,The villagers celebrated because the hard time was over.
The villagers celebrated after the long struggle ended.,Light,The villagers celebrated after the long struggle ended.
A tiny spark of hope appeared in the darkness.,Very Simple,She felt a little hope.
A tiny spark of hope appeared in the darkness.,Moderate,There was a small feeling of hope.
A tiny spark of hope appeared in the darkness.,Light,A tiny spark of hope appeared in the darkness.
Officials announced new safety measures after the incident.,Very Simple,Leaders made new safety rules.
Officials announced new safety measures after the incident.,Moderate,Officials shared new safety rules after what happened.
Officials announced new safety measures after the incident.,Light,Officials announced new safety measures after the incident.
The city is expected to experience heavy rainfall this weekend.,Very Simple,Lots of rain may come.
The city is expected to experience heavy rainfall this weekend.,Moderate,The city may get heavy rain this weekend.
The city is expected to experience heavy rainfall this weekend.,Light,The city is expected to experience heavy rainfall this weekend.
Experts warned that prices may continue to rise.,Very Simple,Things may cost more.
Experts warned that prices may continue to rise.,Moderate,Experts said prices might keep going up.
Experts warned that prices may continue to rise.,Light,Experts warned that prices may continue to rise.
The government introduced a plan to improve public transportation.,Very Simple,Leaders made a bus and train plan.
The government introduced a plan to improve public transportation.,Moderate,The government made a plan to make buses and trains better.
The government introduced a plan to improve public transportation.,Light,The government introduced a plan to improve public transportation.
Residents expressed concern about the sudden increase in traffic.,Very Simple,People did not like the busy roads.
Residents expressed concern about the sudden increase in traffic.,Moderate,People were worried because traffic got worse quickly.
Residents expressed concern about the sudden increase in traffic.,Light,Residents expressed concern about the sudden increase in traffic.
The latest fashion trend combines comfort with elegance.,Very Simple,New clothes are comfy and pretty.
The latest fashion trend combines comfort with elegance.,Moderate,The new fashion trend is both comfortable and stylish.
The latest fashion trend combines comfort with elegance.,Light,The latest fashion trend combines comfort with elegance.
Many readers are embracing healthier daily habits.,Very Simple,People are doing healthy things.
Many readers are embracing healthier daily habits.,Moderate,Many people are choosing healthier habits each day.
Many readers are embracing healthier daily habits.,Light,Many readers are embracing healthier daily habits.
This simple design can transform an ordinary room.,Very Simple,This can make a room look nice.
This simple design can transform an ordinary room.,Moderate,This design can make a normal room look much better.
This simple design can transform an ordinary room.,Light,This simple design can transform an ordinary room.
The article highlights the importance of mental well-being.,Very Simple,The article says feelings matter.
The article highlights the importance of mental well-being.,Moderate,The article explains why mental health is important.
The article highlights the importance of mental well-being.,Light,The article highlights the importance of mental well-being.
Travelers are searching for peaceful destinations away from crowded cities.,Very Simple,People want quiet places to visit.
Travelers are searching for peaceful destinations away from crowded cities.,Moderate,Travelers want calm places away from busy cities.
Travelers are searching for peaceful destinations away from crowded cities.,Light,Travelers are searching for peaceful destinations away from crowded cities.
The situation became increasingly complicated.,Very Simple,It got harder.
The situation became increasingly complicated.,Moderate,The situation became more difficult to understand.
The situation became increasingly complicated.,Light,The situation became increasingly complicated.
She made a remarkable recovery after several weeks,Very Simple,She got much better.
She made a remarkable recovery after several weeks,Moderate,She recovered very well after a few weeks.
She made a remarkable recovery after several weeks,Light,She made a remarkable recovery after several weeks
"His explanation was clear, but the problem remained unresolved.",Very Simple,"He explained clearly, but the problem was not fixed."
"His explanation was clear, but the problem remained unresolved.",Moderate,"His explanation was clear, but the problem remained unresolved."
The decision had a significant effect on the community.,Very Simple,The choice changed things for people.
The decision had a significant effect on the community.,Moderate,The decision had an important effect on the community.
The decision had a significant effect on the community.,Light,The decision had a significant effect on the community.
They worked together to prevent further damage.,Very Simple,They helped stop more bad things.
They worked together to prevent further damage.,Moderate,They worked as a team to stop more damage.
They worked together to prevent further damage.,Light,They worked together to prevent further damage.
The evidence revealed a surprising truth.,Very Simple,The proof showed something surprising.
The evidence revealed a surprising truth.,Moderate,The evidence showed something unexpected
The evidence revealed a surprising truth.,Light,The evidence revealed a surprising truth.
She struggled to express how she truly felt.,Very Simple,She had a hard time saying her feelings.
She struggled to express how she truly felt.,Moderate,She found it hard to explain her real feelings.
She struggled to express how she truly felt.,Light,She struggled to express how she truly felt.
The peaceful morning was interrupted by a sudden noise.,Very Simple,A loud sound stopped the quiet morning.
The peaceful morning was interrupted by a sudden noise.,Moderate,A sudden noise broke the peaceful morning.
The peaceful morning was interrupted by a sudden noise.,Light,The peaceful morning was interrupted by a sudden noise.
"He remained silent, unsure of what to say next.",Very Simple,He was quiet. He did not know what to say.
"He remained silent, unsure of what to say next.",Moderate,He stayed quiet because he did not know what to say.
"He remained silent, unsure of what to say next.",Light,"He remained silent, unsure of what to say next."
The project requires careful planning and strong teamwork.,Very Simple,The work needs a plan and helpers.
The project requires careful planning and strong teamwork.,Moderate,The project needs good planning and teamwork
The project requires careful planning and strong teamwork.,Light,The project requires careful planning and strong teamwork.
"The storm arrived without warning, shaking the windows and filling the streets with water.",Very Simple,A big storm came. The windows shook. Water was on the road.
"The storm arrived without warning, shaking the windows and filling the streets with water.",Moderate,A storm came suddenly. It shook the windows and filled the streets with water.
"The storm arrived without warning, shaking the windows and filling the streets with water.",Light,"The storm arrived without warning, shaking the windows and filling the streets with water."
"After months of hard work, the team finally achieved its goal and celebrated the success.",Very Simple,The team worked hard. They did it! They were happy.
"After months of hard work, the team finally achieved its goal and celebrated the success.",Moderate,"After working hard for many months, the team reached its goal and celebrated."
"After months of hard work, the team finally achieved its goal and celebrated the success.",Light,"After months of hard work, the team finally achieved its goal and celebrated the success."
"Although she was nervous, Maya stepped onto the stage and delivered her speech with confidence.",Very Simple,Maya was scared. She went on stage. She spoke well.
"Although she was nervous, Maya stepped onto the stage and delivered her speech with confidence.",Moderate,"Maya felt nervous, but she went on stage and gave her speech confidently."
"Although she was nervous, Maya stepped onto the stage and delivered her speech with confidence.",Light,"Although she was nervous, Maya stepped onto the stage and delivered her speech with confidence."
The magazine article explains how small lifestyle changes can improve health over time.,Very Simple,The article says small good choices help your body.
The magazine article explains how small lifestyle changes can improve health over time.,Moderate,The article explains that small daily changes can make people healthier over time.
The magazine article explains how small lifestyle changes can improve health over time.,Light,The magazine article explains how small lifestyle changes can improve health over time.
The newspaper reported that local leaders are discussing ways to solve the housing problem.,Very Simple,The news says leaders are talking about homes.
The newspaper reported that local leaders are discussing ways to solve the housing problem.,Moderate,The newspaper said local leaders are talking about how to fix the housing problem.
The newspaper reported that local leaders are discussing ways to solve the housing problem.,Light,The newspaper reported that local leaders are discussing ways to solve the housing problem.
The silence in the room made everyone uncomfortable.,Very Simple,The room was too quiet.
The silence in the room made everyone uncomfortable.,Moderate,The room was so quiet that everyone felt uneasy.
The silence in the room made everyone uncomfortable.,Light,The silence in the room made everyone uncomfortable.
She carefully examined the old photograph.,Very Simple,She looked at the old picture.
She carefully examined the old photograph.,Moderate,She looked closely at the old photograph.
She carefully examined the old photograph.,Light,She carefully examined the old photograph.
A cold wind swept through the empty street.,Very Simple,Cold wind blew on the street.
A cold wind swept through the empty street.,Moderate,A cold wind blew through the empty street.
A cold wind swept through the empty street.,Light,A cold wind swept through the empty street.
He tried to hide his disappointment.,Very Simple,He tried not to look sad.
He tried to hide his disappointment.,Moderate,He tried not to show that he was disappointed.
He tried to hide his disappointment.,Light,He tried to hide his disappointment.
The distant sound of music filled the night air.,Very Simple,Music played far away.
The distant sound of music filled the night air.,Moderate,Music could be heard from far away at night.
The distant sound of music filled the night air.,Light,The distant sound of music filled the night air.
The brave child refused to give up.,Very Simple,The child kept trying.
The brave child refused to give up.,Moderate,The brave child did not stop trying.
The brave child refused to give up.,Light,The brave child refused to give up.
The tiny boat drifted across the quiet lake.,Very Simple,The little boat moved on the lake.
The tiny boat drifted across the quiet lake.,Moderate,The small boat slowly moved across the calm lake.
The tiny boat drifted across the quiet lake.,Light,The tiny boat drifted across the quiet lake.
The king made a difficult decision for his people.,Very Simple,The king made a hard choice.
The king made a difficult decision for his people.,Moderate,The king made a difficult choice to help his people.
The king made a difficult decision for his people.,Light,The king made a difficult decision for his people.
The hidden door led to a secret room.,Very Simple,The door went to a secret room.
The hidden door led to a secret room.,Moderate,The hidden door opened into a secret room.
The hidden door led to a secret room.,Light,The hidden door led to a secret room.
The animals gathered near the river at sunset.,Very Simple,The animals came to the river.
The animals gathered near the river at sunset.,Moderate,The animals came together near the river when the sun went down.
The animals gathered near the river at sunset.,Light,The animals gathered near the river at sunset.
The investigation is still ongoing.,Very Simple,People are still checking.
The investigation is still ongoing.,Moderate,The investigation is still happening.
The investigation is still ongoing.,Very Simple,The investigation is still ongoing.
Several roads were closed due to severe weather.,Moderate,Some roads were closed because of bad weather.
Several roads were closed due to severe weather.,Light,Several roads were closed because the weather was very bad.
Several roads were closed due to severe weather.,Very Simple,Several roads were closed due to severe weather.
The new policy will affect thousands of families.,Moderate,The new rule will change things for many families.
The new policy will affect thousands of families.,Light,The new policy will have an effect on many families.
The new policy will affect thousands of families.,Very Simple,The new policy will affect thousands of families.
Local businesses reported a rise in customers.,Moderate,Shops got more people.
Local businesses reported a rise in customers.,Light,Local businesses said more customers came in.
Local businesses reported a rise in customers.,Very Simple,Local businesses reported a rise in customers.
Officials are preparing for possible flooding.,Moderate,Leaders are getting ready for too much water.
Officials are preparing for possible flooding.,Light,Officials are getting ready in case flooding happens.
Officials are preparing for possible flooding.,Very Simple,Officials are preparing for possible flooding.
The article explores simple ways to reduce stress.,Moderate,The article tells how to feel calm.
The article explores simple ways to reduce stress.,Light,The article explains easy ways to lower stress.
The article explores simple ways to reduce stress.,Very Simple,The article explores simple ways to reduce stress.
Bright colors can create a cheerful atmosphere.,Moderate,Bright colors make a place happy.
Bright colors can create a cheerful atmosphere.,Light,Bright colors can make a room feel happier.
Bright colors can create a cheerful atmosphere.,Very Simple,Bright colors can create a cheerful atmosphere.
Many young people are interested in sustainable fashion.,Moderate,Many kids like clothes that help Earth.
Many young people are interested in sustainable fashion.,Light,Many young people like fashion that is better for the environment.
Many young people are interested in sustainable fashion.,Very Simple,Many young people are interested in sustainable fashion.
This recipe requires only a few basic ingredients.,Moderate,This food needs only a few things.
This recipe requires only a few basic ingredients.,Light,This recipe only needs a few simple ingredients.
This recipe requires only a few basic ingredients.,Very Simple,This recipe requires only a few basic ingredients.
Experts suggest taking short breaks during long study sessions.,Moderate,Take little breaks when you study
Experts suggest taking short breaks during long study sessions.,Light,Experts say short breaks can help during long study times.
Experts suggest taking short breaks during long study sessions.,Very Simple,Experts suggest taking short breaks during long study sessions.
The plan was successful because everyone worked together.,Moderate,The plan worked because everyone helped.
The plan was successful because everyone worked together.,Light,The plan succeeded because the team worked together.
The plan was successful because everyone worked together.,Very Simple,The plan was successful because everyone worked together.
She responded calmly during the emergency.,Moderate,She stayed calm
She responded calmly during the emergency.,Light,She answered and acted calmly during the emergency.
She responded calmly during the emergency.,Very Simple,She responded calmly during the emergency.
The result was better than expected.,Moderate,It was better than they thought.
The result was better than expected.,Light,The result was better than people expected.
The result was better than expected.,Very Simple,The result was better than expected.
He found it difficult to concentrate in the noisy room.,Moderate,It was hard to think because it was loud
He found it difficult to concentrate in the noisy room.,Light,He had trouble focusing because the room was noisy.
He found it difficult to concentrate in the noisy room.,Very Simple,He found it difficult to concentrate in the noisy room.
The teacher encouraged students to share their ideas.,Moderate,"The teacher said, “Tell your ideas.”"
The teacher encouraged students to share their ideas.,Light,The teacher asked students to share what they thought.
The teacher encouraged students to share their ideas.,Very Simple,The teacher encouraged students to share their ideas.
"The old library was filled with dusty books, quiet corners, and the faint smell of paper.",Moderate,The library had many old books. It was quiet.
"The old library was filled with dusty books, quiet corners, and the faint smell of paper.",Light,"The old library had dusty books, quiet places, and smelled like paper."
"The old library was filled with dusty books, quiet corners, and the faint smell of paper.",Very Simple,"The old library was filled with dusty books, quiet corners, and the faint smell of paper."
A sudden change in the weather forced the hikers to return home earlier than planned.,Moderate,The weather got bad. The hikers went home early.
A sudden change in the weather forced the hikers to return home earlier than planned.,Light,"The weather changed suddenly, so the hikers had to go home early."
A sudden change in the weather forced the hikers to return home earlier than planned.,Very Simple,A sudden change in the weather forced the hikers to return home earlier than planned.
The article explains why getting enough sleep is important for learning and staying healthy.,Moderate,Sleep helps your body and brain
The article explains why getting enough sleep is important for learning and staying healthy.,Light,The article says enough sleep helps people learn better and stay healthy.
The article explains why getting enough sleep is important for learning and staying healthy.,Very Simple,The article explains why getting enough sleep is important for learning and staying healthy.
"The young artist felt nervous before showing her painting, but the audience admired her work.",Moderate,The girl was scared to show her picture. People liked it.
"The young artist felt nervous before showing her painting, but the audience admired her work.",Light,"The young artist was nervous, but people liked and admired her painting."
"The young artist felt nervous before showing her painting, but the audience admired her work.",Very Simple,"The young artist felt nervous before showing her painting, but the audience admired her work."
The newspaper reported that the city will build more parks to give families safe places to play.,Moderate,The city will make more parks. Families can play there.
The newspaper reported that the city will build more parks to give families safe places to play.,Light,The newspaper said the city plans to build more parks for families.
The newspaper reported that the city will build more parks to give families safe places to play.,Very Simple,The newspaper reported that the city will build more parks to give families safe places to play.
"Although the task seemed complicated at first, the students completed it by working together.",Moderate,The work was hard. The students helped each other and finished.
"Although the task seemed complicated at first, the students completed it by working together.",Light,"The task seemed difficult at first, but the students finished it together."
"Although the task seemed complicated at first, the students completed it by working together.",Very Simple,"Although the task seemed complicated at first, the students completed it by working together."
"The magazine suggests drinking more water, eating healthy food, and moving your body every day.",Moderate,Drink water. Eat good food. Play and move.
"The magazine suggests drinking more water, eating healthy food, and moving your body every day.",Light,"The magazine says people should drink water, eat healthy food, and exercise daily."
"The magazine suggests drinking more water, eating healthy food, and moving your body every day.",Very Simple,"The magazine suggests drinking more water, eating healthy food, and moving your body every day."
The little village became famous after visitors discovered its beautiful gardens and friendly people.,Moderate,People liked the village. It had pretty gardens and nice people.
The little village became famous after visitors discovered its beautiful gardens and friendly people.,Light,The village became popular because of its beautiful gardens and friendly people.
The little village became famous after visitors discovered its beautiful gardens and friendly people.,Very Simple,The little village became famous after visitors discovered its beautiful gardens and friendly people.
"The boy searched everywhere for his missing toy, checking under the bed, behind the chair, and inside the closet.",Moderate,The boy looked for his toy. He checked many places.
"The boy searched everywhere for his missing toy, checking under the bed, behind the chair, and inside the closet.",Very Simple,"The boy looked everywhere for his missing toy, including under the bed and in the closet."
"The boy searched everywhere for his missing toy, checking under the bed, behind the chair, and inside the closet.",Moderate,"The boy searched everywhere for his missing toy, checking under the bed, behind the chair, and inside the closet."
The company announced a new project that could improve the way people use technology.,Light,The company made a new idea to help people.
The company announced a new project that could improve the way people use technology.,Very Simple,The company announced a project that may make technology easier to use.
The company announced a new project that could improve the way people use technology.,Moderate,The company announced a new project that could improve the way people use technology.
The situation became chaotic.,Light,Everything got messy.
The situation became chaotic.,Very Simple,The situation became confusing and out of control.
The situation became chaotic.,Moderate,The situation became chaotic.
She was astonished by the news.,Light,She was very surprised.
She was astonished by the news.,Very Simple,She was extremely surprised by the news.
She was astonished by the news.,Moderate,She was astonished by the news.
The evidence revealed the truth.,Light,The proof showed what happened.
The evidence revealed the truth.,Very Simple,The evidence showed what was true.
The evidence revealed the truth.,Moderate,The evidence revealed the truth.
abrupt,Light,very fast
abrupt,Very Simple,happening suddenly
abrupt,Moderate,abrupt
accuse,Light,say “you did it”
accuse,Very Simple,say someone did something wrong
accuse,Moderate,accuse
absurd,Light,very silly
absurd,Very Simple,silly or not reasonable
absurd,Moderate,absurd
admire,Light,like a lot
admire,Very Simple,respect or look up to someone
admire,Moderate,admire
ambitious,Light,wants to do big things
ambitious,Very Simple,strongly wants to succeed
ambitious,Moderate,ambitious
anxious,Light,worried
anxious,Very Simple,nervous
anxious,Moderate,anxious
apparent,Light,easy to see
apparent,Very Simple,easy to understand
apparent,Moderate,apparent
approach,Light,come closer
approach,Very Simple,a way to do something
approach,Moderate,approach
astonished,Light,very surprised
astonished,Very Simple,extremely surprised
astonished,Moderate,astonished
attempt,Light,try
attempt,Very Simple,an effort to do something
attempt,Moderate,attempt
awkward,Light,feels weird
awkward,Very Simple,uncomfortable
awkward,Moderate,awkward
bizarre,Light,very strange
bizarre,Very Simple,unusual
bizarre,Moderate,bizarre
chaotic,Light,messy
chaotic,Very Simple,confused
chaotic,Moderate,chaotic
collapse,Light,fall down
collapse,Very Simple,break down
collapse,Moderate,collapse
complicated,Light,hard
complicated,Very Simple,difficult to understand
complicated,Moderate,complicated
conclude,Light,finish
conclude,Very Simple,decide after thinking
conclude,Moderate,conclude
conflict,Light,fight
conflict,Very Simple,disagreements
conflict,Moderate,conflict
constant,Light,all the time
constant,Very Simple,hapenning again and again
constant,Moderate,constant
convince,Very Simple,make someone say yes
convince,Moderate,make someone believe
convince,Light,convince
curious,Very Simple,wants to know
curious,Moderate,interested and wanting to learn
curious,Light,curious
declare,Very Simple,say loudly
declare,Moderate,announce clearly
declare,Light,declare
decline,Very Simple,go down
decline,Moderate,become less
decline,Light,decline
delicate,Very Simple,easy to break
delicate,Moderate,needing gentle care
delicate,Light,delicate
determine,Very Simple,find out
determine,Moderate,decide
determine,Light,determine
dramatic,Very Simple,very big feeling
dramatic,Moderate,emotional
dramatic,Light,dramatic
elegant,Very Simple,very pretty
elegant,Moderate,graceful and stylish
elegant,Light,elegant
emerge,Very Simple,come out
emerge,Moderate,become know
emerge,Light,emerge
encounter,Very Simple,meet
encounter,Moderate,face something
encounter,Light,encounter
evidance,Very Simple,proof
evidance,Moderate,facts that show something is true
evidance,Light,evidance
frequent,Very Simple,happening many times
frequent,Moderate,often
frequent,Light,frequent
hesitate,Very Simple,wait a little
hesitate,Moderate,pause before doing something
hesitate,Light,hesitate
hostile,Very Simple,mean
hostile,Moderate,unfriendly
hostile,Light,hostile
imply,Very Simple,kind of say
imply,Moderate,suggest without saying directly
imply,Light,imply
influence,Very Simple,make someone change
influence,Moderate,affect how someone thinks or act
influence,Light,influence
initial,Very Simple,first
initial,Moderate,happening at the beginning
initial,Light,initial
innocent,Very Simple,did not do it
innocent,Moderate,not guilty or hamless
innocent,Light,innocent
intense,Very Simple,very strong
intense,Moderate,extreme
intense,Light,intense
investigate,Very Simple,look carefully
investigate,Moderate,search to find the truth
investigate,Light,investigate
major,Very Simple,big
major,Moderate,very important
major,Light,major
mysterious,Very Simple,secret
mysterious,Moderate,stranger and hard to explain
mysterious,Light,mysterious
obvious,Very Simple,easy to see
obvious,Moderate,very clear
obvious,Very Simple,obvious
ordinary,Moderate,noramal
ordinary,Light,not special
ordinary,Very Simple,ordinary
persuade,Moderate,talk someone into it
persuade,Light,convince someone to do 
persuade,Very Simple,persuade
predict,Moderate,guess what happens next
predict,Light,say me what happen in the future
predict,Very Simple,predict
prevent,Moderate,stop
prevent,Light,stop something when happening
prevent,Very Simple,prevent
rare,Moderate,not many
rare,Light,hard to find
rare,Very Simple,rare
realize,Moderate,know now
realize,Light,understand something clearly
realize,Very Simple,realize
remarkable,Moderate,wow
remarkable,Light,impressive
remarkable,Very Simple,remarkable
reveal,Moderate,show
reveal,Light,make something know
reveal,Very Simple,reveal
significant,Moderate,important
significant,Light,important
significant,Very Simple,significant
struggle,Moderate,have a hard time
struggle,Light,try hard with difficulty
struggle,Very Simple,struggle
suspicious,Moderate,feels not right
suspicious,Light,not trustworthy
suspicious,Very Simple,suspicious
temporary,Moderate,for a little while
temporary,Light,lasting only short time
temporary,Very Simple,temporary
tension,Moderate,bad feeling
tension,Light,stress or nervous feeling
tension,Very Simple,tension
transform,Moderate,change a lot
transform,Light,change completely
transform,Very Simple,transform
uncertain,Moderate,not sure
uncertain,Light,not know
uncertain,Very Simple,uncertain
urgent,Moderate,do it now
urgent,Light,needing quick action
urgent,Very Simple,urgent
vivid,Moderate,bright
vivid,Light,very clear 
vivid,Very Simple,vivid
accutare,Moderate,right
accutare,Light,correct
accutare,Very Simple,accurate
The ancient library became unusually silent as rain tapped against the windows.,Moderate,The old library felt quiet. Rain hit the windows.
The ancient library became unusually silent as rain tapped against the windows.,Light,The old library became strangely quiet as rain tapped on the windows.
The ancient library became unusually silent as rain tapped against the windows.,Very Simple,The ancient library became unusually silent as rain tapped against the windows.
The ancient library became strangely tense as footsteps echoed nearby.,Moderate,The old library felt not calm. Feet made sounds nearby.
The ancient library became strangely tense as footsteps echoed nearby.,Light,The old library became tense as footsteps sounded nearby.
The ancient library became strangely tense as footsteps echoed nearby.,Very Simple,The ancient library became strangely tense as footsteps echoed nearby.
The ancient library became peaceful and still as the sun disappeared behind the trees.,Moderate,The old library felt calm and quiet. The sun went down.
The ancient library became peaceful and still as the sun disappeared behind the trees.,Light,The old library became peaceful and still as the sun went behind the trees.
The ancient library became peaceful and still as the sun disappeared behind the trees.,Very Simple,The ancient library became peaceful and still as the sun disappeared behind the trees.
The ancient library became cold and unfamiliar as a strong wind moved through the air.,Moderate,The old library felt cold and strange. Wind blew.
The ancient library became cold and unfamiliar as a strong wind moved through the air.,Light,The old library became cold and unfamiliar as a strong wind blew through the air.
The ancient library became cold and unfamiliar as a strong wind moved through the air.,Very Simple,The ancient library became cold and unfamiliar as a strong wind moved through the air.
The ancient library became mysterious and quiet as a small light flickered in the distance.,Moderate,The old library felt secret and quiet. A little light blinked far away.
The ancient library became mysterious and quiet as a small light flickered in the distance.,Very Simple,The old library became mysterious and quiet as a small light blinked far away.
The ancient library became mysterious and quiet as a small light flickered in the distance.,Moderate,The ancient library became mysterious and quiet as a small light flickered in the distance.
The ancient library became dark and gloomy as heavy clouds covered the sky.,Light,The old library felt dark and sad. Big clouds covered the sky.
The ancient library became dark and gloomy as heavy clouds covered the sky.,Very Simple,The old library became dark and gloomy as heavy clouds covered the sky.
The ancient library became dark and gloomy as heavy clouds covered the sky.,Moderate,The ancient library became dark and gloomy as heavy clouds covered the sky.
The ancient library became warm and welcoming as soft music played from inside.,Light,The old library felt warm and nice. Soft music played.
The ancient library became warm and welcoming as soft music played from inside.,Very Simple,The old library became warm and welcoming as soft music played inside.
The ancient library became warm and welcoming as soft music played from inside.,Moderate,The ancient library became warm and welcoming as soft music played from inside.
The narrow hallway became unusually silent as rain tapped against the windows.,Light,The small hallway felt quiet. Rain hit the windows.
The narrow hallway became unusually silent as rain tapped against the windows.,Very Simple,The narrow hallway became strangely quiet as rain tapped on the windows.
The narrow hallway became unusually silent as rain tapped against the windows.,Moderate,The narrow hallway became unusually silent as rain tapped against the windows.
The narrow hallway became strangely tense as footsteps echoed nearby.,Light,The small hallway felt not calm. Feet made sounds nearby.
The narrow hallway became strangely tense as footsteps echoed nearby.,Very Simple,The narrow hallway became tense as footsteps sounded nearby.
The narrow hallway became strangely tense as footsteps echoed nearby.,Moderate,The narrow hallway became strangely tense as footsteps echoed nearby.
The narrow hallway became peaceful and still as the sun disappeared behind the trees.,Light,The small hallway felt calm and quiet. The sun went down.
